page,name,category,mean,min,max,page_num
Page 3,Story-based gated pathway to improve student engagement,Project Goals,2.0,1,3,3
Page 3,Story-based gated pathway to improve student engagement,Strategic Alignment,1.62,1,2,3
Page 3,Story-based gated pathway to improve student engagement,Expected Outcomes,1.75,1,2,3
Page 3,Story-based gated pathway to improve student engagement,Impact Assessment,1.75,1,3,3
Page 3,Story-based gated pathway to improve student engagement,Budget,1.75,1,2,3
Page 3,Story-based gated pathway to improve student engagement,Mean,1.78,1.62,2.0,3
Page 4,Integrating Sustainability Principles in Structural Steel Design Education,Project Goals,2.0,1,3,4
Page 4,Integrating Sustainability Principles in Structural Steel Design Education,Strategic Alignment,1.75,1,3,4
Page 4,Integrating Sustainability Principles in Structural Steel Design Education,Expected Outcomes,1.62,1,3,4
Page 4,Integrating Sustainability Principles in Structural Steel Design Education,Impact Assessment,1.75,1,3,4
Page 4,Integrating Sustainability Principles in Structural Steel Design Education,Budget,2.0,1,3,4
Page 4,Integrating Sustainability Principles in Structural Steel Design Education,Mean,1.82,1.62,2.0,4
Page 5,Building UofA in One Semester,Project Goals,1.62,1,3,5
Page 5,Building UofA in One Semester,Strategic Alignment,1.5,1,3,5
Page 5,Building UofA in One Semester,Expected Outcomes,1.38,1,3,5
Page 5,Building UofA in One Semester,Impact Assessment,1.38,1,3,5
Page 5,Building UofA in One Semester,Budget,1.62,1,2,5
Page 5,Building UofA in One Semester,Mean,1.5,1.38,1.62,5
Page 6,Learning Law Through Graphic Novels,Project Goals,1.75,1,3,6
Page 6,Learning Law Through Graphic Novels,Strategic Alignment,2.12,1,3,6
Page 6,Learning Law Through Graphic Novels,Expected Outcomes,1.5,1,3,6
Page 6,Learning Law Through Graphic Novels,Impact Assessment,1.25,0,2,6
Page 6,Learning Law Through Graphic Novels,Budget,1.25,0,2,6
Page 6,Learning Law Through Graphic Novels,Mean,1.58,1.25,2.12,6
Page 7,"Innovative STEM Laboratory on Interfacial Tension: Integrating Theory, Experiment, Software Development, and Molecular Visualization",Project Goals,1.62,1,3,7
Page 7,"Innovative STEM Laboratory on Interfacial Tension: Integrating Theory, Experiment, Software Development, and Molecular Visualization",Strategic Alignment,1.5,1,3,7
Page 7,"Innovative STEM Laboratory on Interfacial Tension: Integrating Theory, Experiment, Software Development, and Molecular Visualization",Expected Outcomes,1.88,1,3,7
Page 7,"Innovative STEM Laboratory on Interfacial Tension: Integrating Theory, Experiment, Software Development, and Molecular Visualization",Impact Assessment,1.88,1,3,7
Page 7,"Innovative STEM Laboratory on Interfacial Tension: Integrating Theory, Experiment, Software Development, and Molecular Visualization",Budget,1.75,1,2,7
Page 7,"Innovative STEM Laboratory on Interfacial Tension: Integrating Theory, Experiment, Software Development, and Molecular Visualization",Mean,1.72,1.5,1.88,7
Page 8,Teaching Asian Indigeneity,Project Goals,1.88,1,3,8
Page 8,Teaching Asian Indigeneity,Strategic Alignment,2.12,1,3,8
Page 8,Teaching Asian Indigeneity,Expected Outcomes,1.88,1,3,8
Page 8,Teaching Asian Indigeneity,Impact Assessment,1.5,1,3,8
Page 8,Teaching Asian Indigeneity,Budget,1.62,1,3,8
Page 8,Teaching Asian Indigeneity,Mean,1.8,1.5,2.12,8
Page 9,The Virtual Mystery: Engaging students in  ANTH 209 (Introduction to Biological Anthropology) with a hybridized problem-based learning project,Project Goals,2.38,1,3,9
Page 9,The Virtual Mystery: Engaging students in  ANTH 209 (Introduction to Biological Anthropology) with a hybridized problem-based learning project,Strategic Alignment,1.38,0,3,9
Page 9,The Virtual Mystery: Engaging students in  ANTH 209 (Introduction to Biological Anthropology) with a hybridized problem-based learning project,Expected Outcomes,2.12,1,3,9
Page 9,The Virtual Mystery: Engaging students in  ANTH 209 (Introduction to Biological Anthropology) with a hybridized problem-based learning project,Impact Assessment,2.0,1,3,9
Page 9,The Virtual Mystery: Engaging students in  ANTH 209 (Introduction to Biological Anthropology) with a hybridized problem-based learning project,Budget,1.75,0,3,9
Page 9,The Virtual Mystery: Engaging students in  ANTH 209 (Introduction to Biological Anthropology) with a hybridized problem-based learning project,Mean,1.92,1.38,2.38,9
Page 10,Development and implementation of an automated system to track student progress and alert users to approaching deadlines in a U of A graduate program,Project Goals,1.62,0,3,10
Page 10,Development and implementation of an automated system to track student progress and alert users to approaching deadlines in a U of A graduate program,Strategic Alignment,0.88,0,1,10
Page 10,Development and implementation of an automated system to track student progress and alert users to approaching deadlines in a U of A graduate program,Expected Outcomes,1.5,0,2,10
Page 10,Development and implementation of an automated system to track student progress and alert users to approaching deadlines in a U of A graduate program,Impact Assessment,1.12,0,2,10
Page 10,Development and implementation of an automated system to track student progress and alert users to approaching deadlines in a U of A graduate program,Budget,1.38,0,3,10
Page 10,Development and implementation of an automated system to track student progress and alert users to approaching deadlines in a U of A graduate program,Mean,1.3,0.88,1.62,10
Page 11,New MSc Specialization in Molecular Diagnostics: Pedagogical Development supporting credentialing through experiential learning,Project Goals,1.75,1,3,11
Page 11,New MSc Specialization in Molecular Diagnostics: Pedagogical Development supporting credentialing through experiential learning,Strategic Alignment,2.0,1,3,11
Page 11,New MSc Specialization in Molecular Diagnostics: Pedagogical Development supporting credentialing through experiential learning,Expected Outcomes,2.0,1,3,11
Page 11,New MSc Specialization in Molecular Diagnostics: Pedagogical Development supporting credentialing through experiential learning,Impact Assessment,1.75,1,3,11
Page 11,New MSc Specialization in Molecular Diagnostics: Pedagogical Development supporting credentialing through experiential learning,Budget,1.75,1,3,11
Page 11,New MSc Specialization in Molecular Diagnostics: Pedagogical Development supporting credentialing through experiential learning,Mean,1.85,1.75,2.0,11
